AUC,AUPRC,corr_phi_focus,num_snaps
0.500000,0.316667,-0.116346,76

phi_thresh,TPR,FPR,precision,recall
1.3000,0.000000,0.000000,0.000000,0.000000
1.3050,0.000000,0.000000,0.000000,0.000000
1.3100,0.000000,0.000000,0.000000,0.000000
1.3150,0.000000,0.000000,0.000000,0.000000
1.3200,0.000000,0.000000,0.000000,0.000000
1.3250,0.000000,0.000000,0.000000,0.000000
1.3300,0.000000,0.000000,0.000000,0.000000
1.3350,0.000000,0.000000,0.000000,0.000000
1.3400,0.000000,0.000000,0.000000,0.000000
1.3450,0.000000,0.000000,0.000000,0.000000
1.3500,0.000000,0.000000,0.000000,0.000000
1.3550,0.000000,0.000000,0.000000,0.000000
1.3600,0.000000,0.000000,0.000000,0.000000
1.3650,0.000000,0.000000,0.000000,0.000000
1.3700,0.000000,0.000000,0.000000,0.000000
1.3750,0.000000,0.000000,0.000000,0.000000
1.3800,0.000000,0.000000,0.000000,0.000000
1.3850,0.000000,0.000000,0.000000,0.000000
1.3900,0.000000,0.000000,0.000000,0.000000
1.3950,0.000000,0.000000,0.000000,0.000000
1.4000,0.000000,0.000000,0.000000,0.000000
1.4050,0.000000,0.000000,0.000000,0.000000
1.4100,0.000000,0.000000,0.000000,0.000000
1.4150,0.000000,0.000000,0.000000,0.000000
1.4200,0.000000,0.000000,0.000000,0.000000
1.4250,0.000000,0.000000,0.000000,0.000000
1.4300,0.000000,0.000000,0.000000,0.000000
1.4350,0.000000,0.000000,0.000000,0.000000
1.4400,0.000000,0.000000,0.000000,0.000000
1.4450,0.000000,0.000000,0.000000,0.000000
1.4500,0.000000,0.000000,0.000000,0.000000
1.4550,0.000000,0.000000,0.000000,0.000000
1.4600,0.000000,0.000000,0.000000,0.000000
1.4650,0.000000,0.000000,0.000000,0.000000
1.4700,0.000000,0.000000,0.000000,0.000000
1.4750,0.000000,0.000000,0.000000,0.000000
1.4800,0.000000,0.000000,0.000000,0.000000
1.4850,0.000000,0.000000,0.000000,0.000000
1.4900,0.000000,0.000000,0.000000,0.000000
1.4950,0.000000,0.000000,0.000000,0.000000
1.5000,0.000000,0.000000,0.000000,0.000000
1.5050,0.000000,0.000000,0.000000,0.000000
1.5100,0.000000,0.000000,0.000000,0.000000
1.5150,0.000000,0.000000,0.000000,0.000000
1.5200,0.000000,0.000000,0.000000,0.000000
1.5250,0.000000,0.000000,0.000000,0.000000
1.5300,0.000000,0.000000,0.000000,0.000000
1.5350,0.000000,0.000000,0.000000,0.000000
1.5400,0.000000,0.000000,0.000000,0.000000
1.5450,1.000000,1.000000,0.633333,1.000000
1.5500,1.000000,1.000000,0.633333,1.000000
1.5550,1.000000,1.000000,0.633333,1.000000
1.5600,1.000000,1.000000,0.633333,1.000000
1.5650,1.000000,1.000000,0.633333,1.000000
1.5700,1.000000,1.000000,0.633333,1.000000
1.5750,1.000000,1.000000,0.633333,1.000000
1.5800,1.000000,1.000000,0.633333,1.000000
1.5850,1.000000,1.000000,0.633333,1.000000
1.5900,1.000000,1.000000,0.633333,1.000000
1.5950,1.000000,1.000000,0.633333,1.000000
1.6000,1.000000,1.000000,0.633333,1.000000
